,count Blink,duration Blink,med_vel Fixation,med_vel Saccade,peak_vel Fixation,amp Fixation,amp Saccade,duration Saccade,duration Fixation,count Saccade,peak_vel Saccade,count Fixation
0,0.07309,0.04646,0.02975,0.02716,0.02464,0.01961,0.01855,0.01759,0.01124,0.00771,0.00532,-0.00685
0,0.05505,0.03852,0.0425,0.03275,0.01945,-0.00047,0.01611,0.00783,0.00315,0.00736,0.00837,0.01426
0,0.03336,0.02127,0.04056,0.01981,0.00886,-0.01103,-0.0001,-0.00176,-0.01356,0.00075,0.00828,-0.00463
0,0.04898,0.0507,0.05124,0.02874,0.02145,-0.00077,0.02322,0.01648,0.00517,-0.00057,0.00658,-0.01233
0,0.06287,0.03362,0.05074,0.01271,0.01851,-0.00083,-0.00135,0.00435,0.0002,-0.00261,0.02542,0.0014
0,0.09557,0.05104,0.05739,-0.00367,0.0269,0.0055,0.01403,0.02121,0.0084,0.00477,0.01955,0.00271
0,0.0237,0.02429,0.04451,0.01964,0.04418,0.0105,0.00125,0.02299,0.00326,-0.00158,0.01458,0.00282
0,0.0648,0.05653,0.05022,0.02241,0.03618,0.00645,0.03805,0.02423,0.0059,-0.00813,0.01763,-0.01306
0,0.07477,0.02766,0.06833,0.01576,0.00914,0.01588,-0.00015,-0.00187,0.01523,-0.01321,0.01078,-0.03381
0,0.0439,0.04335,0.00541,0.00305,0.00469,0.00493,-0.01807,0.01206,-0.00794,0.00777,0.01657,-0.00697
0,0.06911,0.03973,0.0762,0.03906,0.01148,0.00655,0.01932,-0.00584,-0.00384,-0.01284,0.02454,-0.00113
0,0.07778,0.0649,0.03484,0.00217,-0.00785,0.00695,0.03083,-0.00114,0.00865,0.00569,0.02342,-0.00411
0,0.06176,0.03604,0.02795,0.01156,-0.02606,0.005,-0.03286,0.01381,-0.00075,-0.00869,0.02611,-0.01833
0,0.031,0.02866,0.03827,0.02482,0.01137,0.00697,-0.00128,0.0015,0.00556,0.00987,0.00311,-0.00828
0,0.10145,0.04871,0.04734,0.01274,0.02436,0.01384,0.01553,0.01146,0.00128,0.01338,0.03644,0.00132
0,0.06362,0.03462,0.05316,0.02778,0.01009,0.00452,-0.00487,0.01699,0.00399,0.00156,0.01879,-0.01019
0,0.00837,0.03956,0.04171,0.02543,0.00599,0.01195,0.02921,0.02044,0.00306,0.00416,0.04065,0.00721
0,0.0617,0.03465,0.06755,0.02369,0.02389,4e-05,0.02807,-0.00928,0.01707,-0.00869,0.03744,0.00498
0,0.0507,0.04162,0.06895,0.02769,0.00327,0.00311,0.02355,0.01065,0.0226,-0.01169,0.00787,-0.00483
0,0.06242,0.0495,0.05924,0.04154,0.02613,-0.00793,0.02151,0.02236,0.0205,-0.00298,0.03193,0.00091
0,0.0976,0.04121,0.0543,0.0339,0.02154,0.0139,0.02143,0.01881,0.00707,0.01191,0.02513,-0.00903
0,0.08965,0.03615,0.03466,0.02472,0.00321,0.00404,0.02843,0.00623,-0.01216,0.01314,0.03265,0.00705
0,0.08318,0.03994,0.05293,0.0182,0.01676,0.00264,0.01338,-0.00518,-0.00536,-0.00404,0.01824,0.00041
0,0.06388,0.05865,0.07484,0.05022,-0.00097,0.01,0.00651,0.01953,0.00319,0.01334,0.03588,0.0077
0,0.08996,0.0476,0.0471,0.0396,-0.0016,-0.00596,0.02378,0.01885,0.0036,-0.00332,0.01968,-0.00146
0,0.04881,0.04837,0.0457,0.02107,0.00437,0.00779,-0.0007,0.01879,-0.00803,0.01128,0.02579,-0.01026
0,0.04073,0.03474,0.02789,0.02345,0.02057,0.00746,0.01103,0.01844,0.00078,-0.00649,0.01847,0.00518
0,0.04643,0.02586,0.04208,0.04822,0.01255,0.00019,0.02197,-0.0123,-0.00258,-0.00253,0.01121,-0.00584
0,0.03129,0.03419,0.0736,0.03219,0.02466,-0.00169,-0.0075,0.005,0.02362,0.0061,0.00446,-0.00227
0,0.04292,0.01598,0.04345,0.01264,0.01886,0.0074,0.0009,-0.00114,0.01363,0.00154,0.01121,-0.01472
0,0.06208,0.02373,0.03011,0.00118,0.01971,0.00431,0.01422,-0.00212,-0.00083,0.00912,0.01348,0.00267
0,0.05993,0.04368,0.0824,0.01514,0.02316,0.02087,0.01667,0.03824,-0.00352,0.01054,0.03391,0.00452
0,0.08332,0.05689,0.06099,0.02332,0.03355,0.00736,0.01698,0.01532,0.00862,0.00289,0.02165,0.00145
0,0.0621,0.03474,0.08377,0.045,0.03475,-0.00662,0.0009,0.01791,0.01006,-0.00815,0.04619,0.00017
0,0.07961,0.06352,0.02748,0.00731,0.02242,0.01581,0.01007,0.01761,0.02189,0.01092,0.02614,-0.0001
0,0.07367,0.0733,0.04539,0.0084,0.00808,-0.01783,-0.01233,0.00211,-0.00602,-0.0011,0.01139,-0.01199
0,0.04347,0.01611,0.02043,0.02507,0.02473,-0.02793,0.01324,0.01943,0.00779,0.01626,0.01061,-0.00152
0,0.02579,0.02931,0.08168,0.01143,0.02044,0.00647,0.03103,0.02344,-0.00067,-0.00212,0.01934,0.00993
0,0.06756,0.06164,0.05023,0.00986,0.02467,0.0307,0.0266,0.01804,-0.00396,0.01291,0.00308,0.00244
0,0.08162,0.03289,0.0458,0.02077,0.00902,0.00595,0.0124,0.01419,0.01233,0.01327,0.01076,-0.00317
0,0.06798,0.04888,0.07844,0.03722,0.02475,0.0238,0.01438,-0.00131,0.00843,0.00579,0.03636,0.00021
0,0.06321,0.05654,0.04616,0.01851,0.00972,0.01225,0.0047,0.00785,0.01098,-0.00848,0.00819,-0.00059
