,Blink duration PC1,Blink count PC1,Saccade amp PC0,Fixation amp PC0,Fixation med_vel PC0,Fixation peak_vel PC0,Saccade peak_vel PC1,Fixation peak_vel PC1,Saccade amp PC1,Saccade med_vel PC1,Saccade med_vel PC0,Saccade count PC1,Fixation duration PC0,Saccade duration PC1,Saccade peak_vel PC0,Fixation med_vel PC1,Fixation duration PC1,Saccade duration PC0,Blink duration PC0,Fixation amp PC1,Fixation count PC1
0,0.04607,0.03533,0.03401,0.0262,0.02325,0.02059,0.02044,0.01872,0.01355,0.01347,0.00896,0.00683,0.00678,0.00454,0.00389,0.0012,-0.00216,-0.00887,-0.01027,-0.01111,-0.01781
0,0.01068,0.00678,0.01082,-0.00467,0.00103,0.00778,0.01429,0.00573,0.01467,0.0104,0.02591,-0.01488,-0.0122,-0.02582,0.01473,-0.01282,0.00112,-0.00028,-0.00573,-0.00947,-0.0149
0,0.02301,0.0202,0.01791,0.0071,0.03175,0.02496,0.00241,0.01401,0.02224,0.00323,0.01104,0.00736,0.00719,0.00147,0.01404,0.01471,0.01551,-0.00589,-0.00175,0.00209,-0.00011
0,-0.01774,-0.00272,0.01607,-0.00014,-0.00781,0.01149,0.0002,-0.0002,0.0356,0.00034,0.00071,-0.00139,0.00181,-0.01231,0.01573,0.01562,0.00325,-0.00241,-0.00596,-0.0084,0.01157
0,-0.01522,0.0026,0.01817,0.00668,0.01276,0.01723,-0.00461,0.01089,0.04591,-0.01251,0.01426,-0.00025,0.01171,0.00699,0.03011,0.02762,0.01404,0.00368,-0.00591,-0.00062,-0.0062
0,0.00071,0.01323,0.00487,0.01415,0.01853,0.00134,0.00607,-0.00304,0.02707,0.0092,-0.00154,-0.00478,-0.01235,0.01662,0.01769,-0.0002,-0.00035,-0.00872,0.00187,-0.00133,0.00208
0,0.02991,0.04114,0.01882,0.01098,-0.00011,0.01814,0.00161,-0.01879,0.02275,-0.02015,0.00178,-0.0028,0.0086,-0.00311,0.04035,0.02794,-0.01013,0.00068,-0.00229,-0.00311,-0.00651
0,0.00057,0.00429,-0.00625,0.03031,0.00791,0.00052,-0.01374,0.01955,0.02289,0.01757,0.03439,-0.00665,0.01367,-0.00061,0.02463,0.02193,0.01022,-0.00625,0.01887,0.00055,-0.01197
0,0.02531,0.02093,0.00211,0.01329,-0.00675,0.00481,0.0042,-0.00988,0.00642,-0.0016,0.00948,0.00651,0.01832,-0.00361,0.01542,0.00033,0.0092,0.00788,-0.0005,0.0069,0.00388
0,0.02743,-0.00675,0.02564,0.00471,0.02383,-0.00078,-0.02385,0.00091,0.02108,0.01682,0.03551,-0.0091,-0.0098,0.01873,0.00924,0.01279,-0.00125,-0.02934,-0.00344,0.02095,-0.00989
0,0.00485,0.00286,0.02755,0.00734,0.02015,0.03277,0.00856,0.00229,0.01258,0.03355,0.00836,-0.004,0.0146,0.00338,0.018,0.025,0.00383,0.00453,-0.0042,-0.00615,0.0029
0,0.00449,0.01344,0.00214,-0.0062,0.02006,0.00277,0.01961,-0.01248,0.02535,0.00522,0.01396,0.01037,-0.00556,0.0058,0.01805,0.01121,0.00252,-0.00538,-0.00221,0.00709,0.001
0,0.0019,0.00345,0.00235,-0.02063,0.01353,0.02367,-0.01377,0.00538,0.00055,-0.0114,-0.01522,0.00427,0.00788,-0.01595,-0.00941,0.01836,0.02821,-0.00586,0.00307,0.01633,-0.00498
0,0.01399,0.01766,-0.00168,-0.00685,0.01633,0.01108,-0.00276,0.01327,0.02641,0.00617,0.01528,-0.00794,0.00173,0.00437,0.01555,0.00133,-0.00521,0.00782,-0.007,0.00389,-0.01443
0,0.00777,0.00662,0.01381,0.0238,-0.00492,0.0189,0.01609,0.02426,0.04087,-0.00158,0.00525,0.01347,-0.00757,-0.00224,0.01344,0.01996,-0.00591,0.01217,0.01149,0.00637,0.00338
0,0.01331,0.01907,-0.00581,-0.01147,0.01125,0.02666,-0.02152,0.0172,0.01244,-0.00175,-0.00229,-0.03106,0.00519,-0.00596,0.02351,0.00016,0.00921,-0.00624,0.00801,0.01405,-0.01249
0,0.0078,0.0002,0.01776,0.00658,0.00018,0.01645,0.00348,0.0106,0.03357,0.00572,0.01795,0.00161,0.00337,0.00927,0.02319,0.00501,0.00915,0.00451,-0.00737,-0.0104,-0.00746
0,0.0238,0.03294,0.02687,0.01245,0.01154,0.0238,-0.00949,0.0263,0.04336,0.02302,0.02385,-0.00197,0.01811,0.01406,0.03226,0.01603,0.0121,0.01002,0.01481,0.01794,0.00392
0,0.0152,0.00413,0.02898,-0.0201,0.01665,0.00992,-0.00716,0.01244,0.03209,0.00737,0.01578,-0.00673,0.00855,-0.00543,0.0165,0.00178,0.00553,0.00091,-0.00647,-0.00671,-0.00521
0,-0.00566,0.01326,-0.02153,0.01411,0.00682,0.01133,-0.01737,0.02364,0.02646,-0.00209,0.00955,-0.01138,-0.00806,-0.00293,0.01769,0.01122,0.00613,0.00248,0.01081,0.01293,-0.00117
0,0.02323,0.02056,0.00935,0.0248,-0.00386,0.00584,0.02258,0.00143,0.03466,0.02054,0.00208,-0.00538,0.02139,0.00158,0.02053,0.00202,0.00744,-0.01413,0.00829,0.00209,0.00415
0,0.02371,0.01648,0.0323,0.00839,0.00144,0.03604,0.00682,0.02177,0.01887,-0.00108,0.02789,-0.00366,-0.00085,0.01491,0.00393,0.00252,0.00297,-6e-05,0.00706,-0.00985,0.00259
