,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,Iteration,overfit_factor
0,0.12743382453918456,0.00512588216159504,0.010495615005493165,0.0016893699161695708,127,8,1,"{'n_estimators': 127, 'max_features': 8, 'max_depth': 1}",0.6666666666666666,0.5476190476190477,0.6913580246913581,0.7839285714285714,0.4625,0.6304144620811287,0.11282310859183044,9,0.8242144583607999,0.8009228740936057,0.8227351916376306,0.8327363508086401,0.7968088570498211,0.8154835463900995,0.014051559647401155,0,1.2935673202959517
1,0.06006298065185547,0.008222556798006833,0.004738473892211914,0.0010554564527234412,52,2,13,"{'n_estimators': 52, 'max_features': 2, 'max_depth': 13}",0.7287414965986394,0.6258503401360545,0.8121693121693121,0.7723214285714286,0.5294642857142857,0.6937093726379441,0.10297685098284448,8,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,7.021666937153402e-17,0,1.4415258600259866
2,0.024079656600952147,0.001900340620404087,0.0024507999420166015,0.0005350836749079103,22,8,1,"{'n_estimators': 22, 'max_features': 8, 'max_depth': 1}",0.5790816326530612,0.4744897959183674,0.6790123456790124,0.7839285714285715,0.4267857142857142,0.5886596119929454,0.13086116792485608,10,0.8031751263458581,0.8431663370687761,0.7914307491289199,0.7834581569521328,0.7666883751221101,0.7975837489235593,0.02569416945862382,0,1.3549150182450733
3,0.11534748077392579,0.015125452395203012,0.007769155502319336,0.0016406248219399838,100,4,9,"{'n_estimators': 100, 'max_features': 4, 'max_depth': 9}",0.7210884353741496,0.7363945578231292,0.7689594356261024,0.7589285714285714,0.6017857142857144,0.7174313429075335,0.060206400953255516,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.3938616006756837
4,0.1563014030456543,0.002053607907126819,0.008285617828369141,0.001954929149043858,104,12,11,"{'n_estimators': 104, 'max_features': 12, 'max_depth': 11}",0.7644557823129252,0.6964285714285714,0.746031746031746,0.8107142857142858,0.5857142857142857,0.7206689342403629,0.07677118985166427,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.3875997042304482
5,0.13744916915893554,0.009150389901937823,0.008879852294921876,0.001644306227829789,105,9,10,"{'n_estimators': 105, 'max_features': 9, 'max_depth': 10}",0.7108843537414966,0.6768707482993198,0.7707231040564374,0.7910714285714285,0.6125,0.7124099269337366,0.06455294347668203,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.4036862236101506
6,0.14569153785705566,0.01480912211197645,0.009387445449829102,0.0014152680557501117,99,10,10,"{'n_estimators': 99, 'max_features': 10, 'max_depth': 10}",0.7125850340136054,0.7142857142857143,0.7671957671957672,0.7999999999999999,0.5705357142857143,0.7129204459561602,0.07849082430422594,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.4026810504204466
7,0.12022337913513184,0.007988705509825668,0.006690502166748047,0.0013087144113159814,84,15,5,"{'n_estimators': 84, 'max_features': 15, 'max_depth': 5}",0.7227891156462585,0.6802721088435375,0.7248677248677249,0.7785714285714285,0.5857142857142857,0.698442932728647,0.06441973114912859,7,0.9992309382553285,0.999780268072951,1.0,0.9995658308911322,0.999565830891132,0.9996285736221088,0.00025571701003453633,0,1.4312244090104864
8,0.14314622879028321,0.010981666196911006,0.009000778198242188,0.0010261435822884128,135,3,11,"{'n_estimators': 135, 'max_features': 3, 'max_depth': 11}",0.7074829931972788,0.70578231292517,0.7495590828924162,0.825,0.5946428571428573,0.7164934492315445,0.07471344087959703,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.3956861728080316
9,0.19600553512573243,0.01829333466026474,0.009385061264038087,0.00010853722941521516,157,10,17,"{'n_estimators': 157, 'max_features': 10, 'max_depth': 17}",0.766156462585034,0.6462585034013606,0.7504409171075838,0.7633928571428571,0.5964285714285714,0.7045354623330814,0.06993133085716007,6,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,4.965068306494546e-17,0,1.4193749689880515
0,0.14364151954650878,0.004805067183375566,0.011961078643798828,0.0014754898834289053,142,2,8,"{'n_estimators': 142, 'max_features': 2, 'max_depth': 8}",0.70578231292517,0.5901360544217686,0.7548500881834215,0.8160714285714286,0.7160714285714286,0.7165822625346434,0.07411890993209473,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.3955131912739114
1,0.11518311500549316,0.007719867412509092,0.009530162811279297,0.0010957102285178934,108,15,1,"{'n_estimators': 108, 'max_features': 15, 'max_depth': 1}",0.5935374149659864,0.564625850340136,0.7601410934744268,0.6839285714285713,0.6357142857142858,0.6475894431846813,0.069186711269792,10,0.7815864645132938,0.7819160624038672,0.8091245644599302,0.7752089438836426,0.809833930315858,0.7915339931153184,0.014847767850074864,1,1.222277480656192
2,0.21980557441711426,0.01026278448814753,0.011969375610351562,0.001865162739656427,139,14,9,"{'n_estimators': 139, 'max_features': 14, 'max_depth': 9}",0.6870748299319728,0.6156462585034013,0.8024691358024691,0.8214285714285715,0.6928571428571428,0.7238951877047116,0.0771019531633243,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.3814154548681927
3,0.08397850990295411,0.0066885042408780715,0.0061076641082763675,0.0006889306330502651,80,2,17,"{'n_estimators': 80, 'max_features': 2, 'max_depth': 17}",0.7389455782312925,0.6479591836734694,0.7037037037037037,0.8089285714285714,0.6294642857142857,0.7058002645502646,0.06467028277010435,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.4168314326677098
4,0.05305938720703125,0.0038107500945846764,0.0038864612579345703,0.0006799070033691908,34,10,19,"{'n_estimators': 34, 'max_features': 10, 'max_depth': 19}",0.7210884353741497,0.608843537414966,0.7848324514991183,0.8151785714285714,0.6116071428571429,0.7083100277147897,0.08565615600994228,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.4118111573632317
5,0.07115664482116699,0.0034985509691487066,0.004811859130859375,8.41477223003604e-05,69,3,7,"{'n_estimators': 69, 'max_features': 3, 'max_depth': 7}",0.7040816326530612,0.6360544217687074,0.7671957671957672,0.7535714285714286,0.7000000000000001,0.712180650037793,0.04636598885378029,4,1.0,1.0,1.0,1.0,0.9997829154455661,0.9999565830891133,8.683382177356868e-05,1,1.404077158002045
6,0.13473906517028808,0.009243810833038733,0.006825017929077149,0.0014171090877380774,79,15,14,"{'n_estimators': 79, 'max_features': 15, 'max_depth': 14}",0.6904761904761905,0.5943877551020408,0.7222222222222222,0.7910714285714286,0.7294642857142858,0.7055243764172336,0.06441743854178557,7,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,4.965068306494546e-17,1,1.4173854701919173
7,0.020386219024658203,0.0026442391841015,0.0017735958099365234,0.00013121177564629492,15,14,4,"{'n_estimators': 15, 'max_features': 14, 'max_depth': 4}",0.6479591836734694,0.5867346938775511,0.7566137566137566,0.6839285714285714,0.675,0.6700472411186696,0.055026985318435195,9,0.97143484948363,0.9827510437266536,0.9758275261324041,0.9851297080212743,0.9787257136654727,0.9787737682058868,0.0048735833041248814,1,1.4607533740035796
8,0.12652220726013183,0.0031428799157731603,0.009316205978393555,0.0011842420792593507,140,1,20,"{'n_estimators': 140, 'max_features': 1, 'max_depth': 20}",0.6428571428571429,0.576530612244898,0.7671957671957672,0.7910714285714285,0.6758928571428572,0.6907095616024188,0.07933330344158838,8,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,4.965068306494546e-17,1,1.4477865308249673
9,0.16444621086120606,0.018582040721863768,0.008894586563110351,9.076825455377279e-05,146,5,11,"{'n_estimators': 146, 'max_features': 5, 'max_depth': 11}",0.6921768707482994,0.619047619047619,0.7848324514991183,0.8196428571428572,0.6839285714285714,0.719925673973293,0.07266164851650604,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.3890322795143113
0,0.19714827537536622,0.005303880565365329,0.010991191864013672,0.0011201517125719127,127,12,19,"{'n_estimators': 127, 'max_features': 12, 'max_depth': 19}",0.7695578231292517,0.7210884353741496,0.6525573192239859,0.7089285714285715,0.6178571428571429,0.6939978584026203,0.05325572396052218,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,1.4409266367214835
